"","Tubelabel_species","Health_Status","Date_Extracted","Raw_ng_ul","Extraction_physical_location","Date_Enriched","Microbe_Location","colony"
"47","062019_BEL_CBC_T2_5_MCAV","Healthy","9_13_2024","9.48","UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B33","10_9_2024","UML_NARWHAL_R6_B27","2_59"
"48","062019_BEL_CBC_T3_11_MCAV","Healthy","9_13_2024","12","UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B33","10_9_2024","UML_NARWHAL_R6_B27","3_12"
"49","062019_BEL_CBC_T3_12_PAST","Healthy","2022","1.75","UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B32","11_6_2024","UML_NARWHAL_R6_B27","3_18"
"50","062019_BEL_CBC_T3_14_MCAV","Healthy","2022","12.6","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B33","11_5_2024","UML_NARWHAL_R6_B27","3_17"
"51","062019_BEL_CBC_T3_15_MCAV","Healthy","6_13_2022","22.4","UML_NARWHAL_R2_B33, UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","10_30_24","UML_NARWHAL_R6_B27","3_22"
"52","062019_BEL_CBC_T3_23_PAST","Healthy","2022","4.22","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34","10_6_2024","UML_NARWHAL_R6_B30, (enrichment from 2022 extract - JF_TEMP)","3_24"
"53","062019_BEL_CBC_T3_28_SSID","","","","UML_NARWHAL_R2_B35","","","3_24"
"54","062019_BEL_CBC_T3_9_MCAV","Healthy","2022","5.2","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B33","11_5_2024","all_sent_for_sequencing","3_15"
"55","092023_BEL_CBC_T1_188_SSID","Diseased_Tissue","9_11_2024","6.22","UML_NARWHAL_R2_B11","","","1_5"
"56","092023_BEL_CBC_T1_190_OANN","Diseased_Tissue","9_11_2024","14.7","UML_NARWHAL_R2_B11","","","1_22"
"57","092023_BEL_CBC_T1_194_SSID","Diseased_Tissue","9_11_2024","15.7","UML_NARWHAL_R2_B11","","","1_16"
"58","092023_BEL_CBC_T1_196_SSID","Diseased_Tissue","9_11_2024","20.6","UML_NARWHAL_R2_B11","","","1_17"
"59","092023_BEL_CBC_T2_192_OFAV","Diseased_Tissue","9_11_2024","56","UML_NARWHAL_R2_B11","","","2_80"
"60","092023_BEL_CBC_T2_194_OANN","Diseased_Tissue","9_11_2024","28.4","UML_NARWHAL_R2_B11","","","2_30"
"61","092023_BEL_CBC_T2_196_SSID","Diseased_Tissue","9_11_2024","11","UML_NARWHAL_R2_B11","","","2_52"
"62","092023_BEL_CBC_T3_196_SSID","Diseased_Tissue","9_11_2024","18.1","UML_NARWHAL_R2_B11","","","3_3"
"63","092023_BEL_CBC_T3_198_SSID","Diseased_Tissue","9_11_2024","12.9","UML_NARWHAL_R2_B11","","","3_19"
"64","092023_BEL_CBC_T3_220_SSID","Diseased_Tissue","9_11_2024","17.2","UML_NARWHAL_R2_B11","","","3_28"
"65","092023_BEL_CBC_T3_264_SSID","Diseased_Tissue","9_11_2024","30.8","UML_NARWHAL_R2_B11","","","3_65"
"66","092023_BEL_CBC_T3_90_SSID","Diseased_Tissue","9_11_2024","7.36","UML_NARWHAL_R2_B11","","","3_28"
"67","092023_BEL_CBC_T4_84_OANN","Diseased_Tissue","9_11_2024","6.54","UML_NARWHAL_R2_B11","","","4_99"
"68","092023_BEL_CBC_T4_88_OFAV","Diseased_Tissue","9_11_2024","14.8","UML_NARWHAL_R2_B11","","","4_100"
"69","102019_BEL_CBC_T1_25_PSTR","Healthy","5_25_2023","23.2","UML_NARWHAL_R2_B3","10_17_2023","UML_NARWHAL_R2_B1","1_4"
"70","102019_BEL_CBC_T1_26_PSTR","Healthy","5_25_2023","23.1","UML_NARWHAL_R2_B3","10_17_2023","UML_NARWHAL_R2_B1","1_417"
"71","102019_BEL_CBC_T1_27_PSTR","Healthy","5_30_2023","19.1","UML_NARWHAL_R2_B3","10_17_2023","UML_NARWHAL_R2_B1","1_6"
"72","102019_BEL_CBC_T1_28_PSTR","Healthy","5_30_2023","7.2","","10_17_2023","UML_NARWHAL_R2_B1","1_404"
"73","102019_BEL_CBC_T1_30_PSTR","Healthy","6_1_2023","8.6"," UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B3","9_27_2023","UML_NARWHAL_R2_B1","1_422"
"74","102019_BEL_CBC_T1_31_PSTR","Healthy","6_1_2023","13.2"," UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B3","9_27_2023","UML_NARWHAL_R2_B1","1_419"
"75","102019_BEL_CBC_T2_33_PSTR","Healthy","6_6_2023","19","UML_NARWHAL_R2_B3","9_28_2023","UML_NARWHAL_R6_B1","2_427"
"76","102019_BEL_CBC_T2_35_PSTR","Healthy","7_12_2024","19","UML_NARWHAL_R2_B26","8_6_2024","UML_NARWHAL_R6_B27","2_70"
"77","102019_BEL_CBC_T2_36_PSTR","Healthy","6_6_2023","26.7","UML_NARWHAL_R2_B3","9_28_2023","UML_NARWHAL_R6_B1","2_403"
"78","102019_BEL_CBC_T3_34_PSTR","Healthy","6_6_2023","7.5","UML_NARWHAL_R2_B3","10_4_2023","UML_NARWHAL_R6_B1","3_30"
"79","102019_BEL_CBC_T3_36_PSTR","Healthy","6_6_2023","14.8","UML_NARWHAL_R2_B3","10_4_2023","UML_NARWHAL_R6_B1","3_16"
"80","102019_BEL_CBC_T3_37_PSTR","Healthy","6_7_2023","52.6","UML_NARWHAL_R2_B3","10_4_2023","UML_NARWHAL_R6_B1","3_11"
"81","102019_BEL_CBC_T3_39_PSTR","Healthy","6_7_2023","24.2","UML_NARWHAL_R2_B3","10_6_2023","UML_NARWHAL_R6_B1","3_32"
"82","122022_BEL_CBC_T1_120_OANN","Diseased_Margin","6_28_2023","15.2","","10_17_2023","UML_NARWHAL_R6_B1","1_22"
"83","122022_BEL_CBC_T1_132_PSTR","Diseased_Tissue","7_3_2024","29.4","UML_NARWHAL_R2_B26","8_2_2024","UML_NARWHAL_R6_B27","1_6"
"84","122022_BEL_CBC_T1_133_PSTR","Diseased_Margin","7_11_2024","9.9","UML_NARWHAL_R2_B26","8_2_2024","UML_NARWHAL_R6_B27","1_6"
"85","122022_BEL_CBC_T1_134_PAST","Diseased_Margin","8_9_2024","1.21","UML_NARWHAL_R2_B26","10_29_2024","UML_NARWHAL_R6_B30","1_20"
"86","122022_BEL_CBC_T1_136_OANN","Diseased_Tissue","6_28_2023","12.1","UML_NARWHAL_R2_B3","10_17_2023","UML_NARWHAL_R6_B1","1_22"
"87","122022_BEL_CBC_T1_139_PAST","Diseased_Tissue","8_9_2024","1.25","UML_NARWHAL_R2_B26","10_29_2024","UML_NARWHAL_R6_B30","1_20"
"88","122022_BEL_CBC_T1_144_MCAV","Diseased_Tissue","7_19_2024","3.03","UML_NARWHAL_R2_B26","10_29_2024","UML_NARWHAL_R6_B30","1_8"
"89","122022_BEL_CBC_T1_155_PAST","Healthy","8_19_2024","3.08","UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34","9_28_2024","UML_NARWHAL_R6_B30","1_19"
"90","122022_BEL_CBC_T2_101_OFAV","Diseased_Margin","6_28_2023","13.3","UML_NARWHAL_R2_B3","10_17_2023","UML_NARWHAL_R6_B1","2_80"
"91","122022_BEL_CBC_T2_102_OFAV","Diseased_Tissue","6_28_2023","56.1","UML_NARWHAL_R2_B3","10_17_2023","UML_NARWHAL_R6_B1","2_80"
"92","122022_BEL_CBC_T2_116_PSTR","Diseased_Margin","7_11_2024","7.87","UML_NARWHAL_R2_B26","8_2_2024","UML_NARWHAL_R6_B27","2_28"
"93","122022_BEL_CBC_T2_117_PSTR","Diseased_Tissue","7_3_2024","22.5","UML_NARWHAL_R2_B26","8_2_2024","UML_NARWHAL_R6_B27","2_28"
"94","122022_BEL_CBC_T2_118_OANN","Diseased_Margin","6_28_2023","16","UML_NARWHAL_R2_B3","10_17_2023","UML_NARWHAL_R6_B1","2_30"
"95","122022_BEL_CBC_T2_119_OANN","Diseased_Tissue","6_28_2023","6.7","UML_NARWHAL_R2_B3","10_17_2023","UML_NARWHAL_R6_B1","2_30"
"96","122022_BEL_CBC_T2_85_MCAV","Healthy","8_12_2024","0.162","UML_NARWHAL_R2_B29","11_6_2024","UML_NARWHAL_R6_B27","2_59"
"97","122022_BEL_CBC_T2_89_PAST","Healthy","9_11_2024","42.6","UML_NARWHAL_R2_B29","10_6_2024","UML_NARWHAL_R6_B30","2_56"
