,Tubelabel_species,Health_Status,Date_Extracted,Raw_ng_ul,Extraction_physical_location,Date_Enriched,Microbe_Location,colony,Date_16S,Date_ITS2,16S_double_band
,092023_BEL_CBC_T1_171_PAST,Healthy,11_8_2024,2.16,UML_NARWHAL_R2_B12,,,1_2,2_27_2025,7_3_2025,
,092023_BEL_CBC_T4_92_PSTR,Healthy,11_12_2024,4.54,UML_NARWHAL_R2_B12,,,4_98,2_27_2025,7_3_2025,
,082024_BEL_CBC_T1_1479_PAST,Healthy,1_14_2025,62.6,UML_NARWHAL_R2_B15,,,1_2,2_27_2025,7_3_2025,
,092023_BEL_CBC_T2_174_SSID,Healthy,11_8_2024,43.2,UML_NARWHAL_R2_B12,,,2_72,2_27_2025,7_3_2025,
,062024_BEL_CBC_T3_1439_OFAV ,Healthy,1_13_2025,52.6,UML_NARWHAL_R2_B15,,,3_66,2_27_2025,7_3_2025,
,122023_BEL_CBC_T1_507_PAST,Healthy,11_18_2024,1.58,UML_NARWHAL_R2_B13,,,1_21,3_4_2025,7_3_2025,
,122023_BEL_CBC_T3_532_MCAV,Healthy,11_19_2024,93.8,UML_NARWHAL_R2_B13,,,3_21,3_4_2025,7_3_2025,
,082024_BEL_CBC_T3_1560_PSTR,Healthy,1_14_2025,64.8,UML_NARWHAL_R2_B15,,,3_70,3_4_2025,7_3_2025,y
,062024_BEL_CBC_T2_1396_MCAV,Healthy,12_4_2024,47.5,UML_NARWHAL_R2_B15,,,2_69,3_4_2025,7_3_2025,
,112023_BEL_CBC_T4_401_MCAV,Healthy,11_15_2024,21.8,UML_NARWHAL_R2_B12,,,4_30,3_4_2025,7_3_2025,
,062024_BEL_CBC_T3_1415_MCAV,Diseased_Tissue,9_10_2024,42,UML_NARWHAL_R2_B11,,,3_2,3_4_2025,7_3_2025,
,092023_BEL_CBC_T2_181_PAST,Healthy,11_8_2024,5.5,UML_NARWHAL_R2_B12,,,2_63,3_4_2025,7_7_2025,
,042024_BEL_CBC_T4_1046_PSTR,Healthy,12_3_2024,50.7,UML_NARWHAL_R2_B14,,,4_98,3_4_2025,7_7_2025,
,052022_BEL_CBC_T2_1_SSID,Healthy,12_4_2024,33.2,UML_NARWHAL_R2_B15,,,2_73,3_4_2025,7_7_2025,
,012024_BEL_CBC_T2_601_OFAV,Healthy,2_17_2025,89,UML_NARWHAL_R2_B16,,,2_79,3_4_2025,7_7_2025,
,012024_BEL_CBC_T3_631_MCAV,Healthy,2_20_2025,77.6,UML_NARWHAL_R2_B16,,,3_21,3_4_2025,7_7_2025,
,012024_BEL_CBC_T1_557_SSID,Healthy,2_17_2025,44.6,UML_NARWHAL_R2_B16,,,1_3,3_4_2025,7_7_2025,y
,022024_BEL_CBC_T1_776_PSTR,Healthy,11_22_2024,20.2,UML_NARWHAL_R2_B13,,,1_12,3_4_2025,7_7_2025,
,112023_BEL_CBC_T2_307_SSID,Healthy,11_13_2024,45.4,UML_NARWHAL_R2_B12,,,2_99,3_4_2025,7_7_2025,y
,112023_BEL_CBC_T2_310_MCAV,Healthy,11_13_2024,68.2,UML_NARWHAL_R2_B12,,,2_55,3_4_2025,7_7_2025,
,012024_BEL_CBC_T3_633_MCAV,Healthy,2_17_2025,49.8,UML_NARWHAL_R2_B16,,,3_2,3_6_2025,7_7_2025,
,062024_BEL_CBC_T1_1347_OANN,Healthy,12_4_2024,10.7,UML_NARWHAL_R2_B15,,,1_25,3_6_2025,7_7_2025,
,012024_BEL_CBC_T3_637_SSID,Healthy,2_20_2025,6.46,UML_NARWHAL_R2_B16,,,3_5,3_6_2025,7_7_2025,
,092023_BEL_CBC_T3_195_PSTR,Healthy,11_12_2024,8.52,UML_NARWHAL_R2_B12,,,3_70,3_6_2025,7_7_2025,
,012024_BEL_CBC_T1_563_PSTR,Healthy,2_17_2025,35.8,UML_NARWHAL_R2_B16,,,1_12,3_6_2025,7_7_2025,
,042024_BEL_CBC_T1_927_PSTR,Healthy,12_2_2024,24.7,UML_NARWHAL_R2_B14,,,1_12,3_6_2025,7_7_2025,
,022024_BEL_CBC_T4_875_MCAV,Healthy,11_26_2024,39,UML_NARWHAL_R2_B13,,,4_30,3_6_2025,7_9_2025,
,112023_BEL_CBC_T2_304_OFAV,Healthy,11_13_2024,96,UML_NARWHAL_R2_B12,,,2_76,3_6_2025,7_9_2025,y
,062019_BEL_CBC_T2_18_MCAV,Healthy,12_2_2024,1.61,UML_NARWHAL_R2_B14,,,2_69,3_6_2025,7_9_2025,
,122023_BEL_CBC_T1_508_SSID,Healthy,11_18_2024,15.7,UML_NARWHAL_R2_B13,,,1_3,3_6_2025,7_9_2025,
,122022_BEL_CBC_T3_126_SSID,Healthy,1_14_2025,61,UML_NARWHAL_R2_B15,,,3_33,3_6_2025,7_9_2025,
,122023_BEL_CBC_T2_515_PAST,Healthy,11_18_2024,9.86,UML_NARWHAL_R2_B13,,,2_68,3_6_2025,7_9_2025,
