,Tubelabel_species,Health_Status,Date_Extracted,Raw_ng_ul,Extraction_physical_location,Date_Enriched,Microbe_Location,colony,Date_16S,Date_ITS2,16S_double_band
,022024_BEL_CBC_T2_811_PAST,Healthy,11_22_2024,13.5,UML_NARWHAL_R2_B13,,,2_63,12_3_2025,12_18_2025,
,082024_BEL_CBC_T3_1556_OFAV,Healthy,1_15_2025,110,UML_NARWHAL_R2_B15,,,3_66,12_3_2025,12_18_2025,
,092023_BEL_CBC_T3_175_MCAV,Healthy,11_12_2024,22,UML_NARWHAL_R2_B12,,,3_14,12_3_2025,12_18_2025,
,022024_BEL_CBC_T2_813_MCAV,Healthy,11_22_2024,69,UML_NARWHAL_R2_B13,,,2_55,12_3_2025,12_19_2025,
,082024_BEL_CBC_T2_1511_SSID,Healthy,1_14_2025,96.2,UML_NARWHAL_R2_B15,,,2_99,12_3_2025,12_19_2025,
,012024_BEL_CBC_T2_599_MCAV,Healthy,2_17_2025,21.8,UML_NARWHAL_R2_B16,,,2_60,12_3_2025,12_19_2025,
,122023_BEL_CBC_T3_528_PAST ,Healthy,11_19_2024,3.06,UML_NARWHAL_R2_B13,,,3_10,12_3_2025,12_19_2025,
,052022_BEL_CBC_T3_1_MCAV,Healthy,6_15_2022,6,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B33",11_5_2024,all_sent_for_sequencing,3_2,12_4_2025,12_19_2025,
,062024_BEL_CBC_T3_1427_MCAV,Healthy,1_13_2025,36,UML_NARWHAL_R2_B15,,,3_14,12_4_2025,12_19_2025,
,112023_BEL_CBC_T1_275_SSID,Healthy,11_13_2024,35,UML_NARWHAL_R2_B12,,,1_3,12_4_2025,12_19_2025,
,012024_BEL_CBC_T2_595_PAST,Healthy,2_17_2025,21.8,UML_NARWHAL_R2_B16,,,2_63,12_4_2025,12_19_2025,
,092023_BEL_CBC_T3_182_MCAV,Healthy,11_12_2024,78.4,UML_NARWHAL_R2_B12,,,3_21,12_4_2025,12_19_2025,
,122022_BEL_CBC_T2_87_OFAV,Healthy,6_27_2023,62.2,UML_NARWHAL_R2_B3,10_11_23,UML_NARWHAL_R6_B1,2_79,12_4_2025,12_19_2025,
,092023_BEL_CBC_T3_177_SSID,Healthy,11_12_2024,16.3,UML_NARWHAL_R2_B12,,,3_5,12_4_2025,12_19_2025,
,062024_BEL_CBC_T4_1473_PSTR,Healthy,1_13_2025,10,UML_NARWHAL_R2_B15,,,4_79,12_4_2025,12_19_2025,
,062019_BEL_CBC_T1_5_SSID,Healthy,12_2_2024,20.5,UML_NARWHAL_R2_B14,,,1_3,12_4_2025,12_19_2025,
,122022_BEL_CBC_T4_1_OFAV,Healthy,7_16_2024,44.7,UML_NARWHAL_R2_B26,8_6_2024,,4_78,12_4_2025,12_19_2025,
,112023_BEL_CBC_T2_314_SSID,Healthy,11_13_2024,65.6,UML_NARWHAL_R2_B12,,,2_73,12_4_2025,12_19_2025,
,052022_BEL_CBC_T3_15_PSTR,Healthy,6_8_2023,13.3,UML_NARWHAL_R2_B3,10_6_2023,UML_NARWHAL_R6_B1,3_20,12_4_2025,12_22_2025,
,092023_BEL_CBC_T1_174_MCAV,Healthy,11_8_2024,45.4,UML_NARWHAL_R2_B12,,,1_24,12_4_2025,12_22_2025,
,012024_BEL_CBC_T3_639_OFAV,Healthy,2_20_2025,77.8,UML_NARWHAL_R2_B16,,,3_66,12_4_2025,12_22_2025,
,122023_BEL_CBC_T2_520_PAST,Healthy,11_18_2024,5.98,UML_NARWHAL_R2_B13,,,2_57,1_7_2026,1_19_2026,
,052022_BEL_CBC_T2_10_MCAV,Healthy,2022,7.94,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B35",10_30_24,UML_NARWHAL_R6_B27,2_60,1_7_2026,1_19_2026,
,042024_BEL_CBC_T2_1035_SSID,Diseased_Margin,11_4_2024,1.14,UML_NARWHAL_R2_B11,,,2_99,1_7_2026,1_19_2026,
,052022_BEL_CBC_T3_65_OFAV,Healthy,6_21_2023,26.8,UML_NARWHAL_R2_B3,10_11_23,UML_NARWHAL_R6_B1,3_39,1_7_2026,1_19_2026,
,092023_BEL_CBC_T4_93_PSTR,Healthy,11_12_2024,31.4,UML_NARWHAL_R2_B12,,,4_79,1_7_2026,1_19_2026,
,042024_BEL_CBC_T3_959_SSID,Healthy,12_3_2024,21.5,UML_NARWHAL_R2_B14,,,3_5,1_7_2026,1_19_2026,
,082024_BEL_CBC_T3_1563_SSID,Healthy,1_15_2025,RECHECK,UML_NARWHAL_R2_B15,,,3_33,1_7_2026,1_19_2026,
,122022_BEL_CBC_T2_93_OFAV,Healthy,6_27_2023,46.1,UML_NARWHAL_R2_B3,10_11_23,UML_NARWHAL_R6_B1,2_76,1_7_2026,1_19_2026,
,062024_BEL_CBC_T2_1369_SSID,Diseased_Tissue,9_10_2024,21,UML_NARWHAL_R2_B11,,,2_72,1_7_2026,1_19_2026,
,062024_BEL_CBC_T4_1470_PSTR,Healthy,1_13_2025,21.4,UML_NARWHAL_R2_B15,,,4_98,1_7_2026,1_19_2026,
,052022_BEL_CBC_T3_16_SSID,Healthy,1_15_2025,21,UML_NARWHAL_R2_B15,,,3_33,1_7_2026,1_19_2026,
,062024_BEL_CBC_T3_1412_MCAV,Diseased_Margin,11_4_2024,3.08,UML_NARWHAL_R2_B11,,,3_2,1_7_2026,1_19_2026,
,112023_BEL_CBC_T1_278_PSTR,Healthy,11_13_2024,19.5,UML_NARWHAL_R2_B12,,,1_12,1_7_2026,1_19_2026,
,122022_BEL_CBC_T2_100_PAST,Healthy,8_19_2024,15.6,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34",9_28_2024,UML_NARWHAL_R6_B30,2_63,1_7_2026,1_19_2026,
,122022_BEL_CBC_T2_94_PAST,Healthy,9_11_2024,27.6,UML_NARWHAL_R2_B29,10_6_2024,UML_NARWHAL_R6_B30,2_68,1_7_2026,1_19_2026,
,062019_BEL_CBC_T3_27_SSID,Healthy,12_3_2024,RECHECK,UML_NARWHAL_R2_B14,,,3_33,1_7_2026,1_19_2026,
,022024_BEL_CBC_T3_852_OFAV,Healthy,11_26_2024,49.5,UML_NARWHAL_R2_B13,,,3_39,1_7_2026,1_19_2026,
,052022_BEL_CBC_T1_54_MCAV,Healthy,8_12_2024,0.361,UML_NARWHAL_R2_B26,10_6_2024,UML_NARWHAL_R6_B30,1_24,1_7_2026,1_19_2026,
,122023_BEL_CBC_T2_516_MCAV,Healthy,11_18_2024,22.4,UML_NARWHAL_R2_B13,,,2_69,1_7_2026,1_19_2026,
,102019_BEL_CBC_T3_35_PSTR,Healthy,6_6_2023,30.3,UML_NARWHAL_R2_B3,10_4_2023,UML_NARWHAL_R6_B1,3_20,1_7_2026,1_19_2026,
,022024_BEL_CBC_T3_842_MCAV,Diseased_Tissue,9_10_2024,27,UML_NARWHAL_R2_B11,,,3_2,1_7_2026,1_19_2026,
,112023_BEL_CBC_T1_277_OANN,Healthy,11_13_2024,7.88,UML_NARWHAL_R2_B12,,,1_25,1_7_2026,1_19_2026,
,012024_BEL_CBC_T4_667_OFAV,Healthy,2_20_2025,55.8,UML_NARWHAL_R2_B16,,,4_78,1_7_2026,1_19_2026,
,122022_BEL_CBC_T4_34_PSTR,Healthy,7_12_2024,3.99,UML_NARWHAL_R2_B26,10_16_2024,UML_NARWHAL_R6_B27,4_98,1_7_2026,1_19_2026,
,122023_BEL_CBC_T1_509_MCAV,Healthy,11_18_2024,16.4,UML_NARWHAL_R2_B13,,,1_24,1_7_2026,1_19_2026,
,122023_BEL_CBC_T3_534_SSID,Healthy,11_19_2024,28.4,UML_NARWHAL_R2_B13,,,3_33,1_7_2026,1_19_2026,
,082024_BEL_CBC_T2_1507_OFAV,Healthy,1_14_2025,55.6,UML_NARWHAL_R2_B15,,,2_76,1_7_2026,1_19_2026,
,112023_BEL_CBC_T1_273_PAST,Healthy,11_13_2024,7.5,UML_NARWHAL_R2_B12,,,1_2,1_7_2026,1_19_2026,
,122022_BEL_CBC_T1_123_OANN,Healthy,7_16_2024,9.51,UML_NARWHAL_R2_B26,8_6_2024,UML_NARWHAL_R6_B27,1_25,1_7_2026,1_19_2026,
,022024_BEL_CBC_T2_807_SSID,Healthy,11_22_2024,77.6,UML_NARWHAL_R2_B13,,,2_73,1_7_2026,1_19_2026,
,092023_BEL_CBC_T2_182_PAST,Healthy,11_8_2024,8.58,UML_NARWHAL_R2_B12,,,2_57,1_7_2026,1_19_2026,
,062019_BEL_CBC_T2_16_MCAV,Healthy,9_16_2024,3.19,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B33",10_9_2024,UML_NARWHAL_R6_B27,2_60,1_8_2026,1_20_2026,
,092023_BEL_CBC_T3_176_MCAV,Healthy,11_12_2024,78.8,UML_NARWHAL_R2_B12,,,3_2,1_8_2026,1_20_2026,
,012024_BEL_CBC_T3_629_OFAV,Healthy,2_20_2025,62,UML_NARWHAL_R2_B16,,,3_39,1_8_2026,1_20_2026,
,062019_BEL_CBC_T1_12_PAST,Healthy,9_11_2024,1.08,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34",10_6_2024,UML_NARWHAL_R6_B30,1_13,1_8_2026,1_20_2026,
,092023_BEL_CBC_T3_181_PAST,Healthy,11_12_2024,10.5,UML_NARWHAL_R2_B12,,,3_10,1_8_2026,1_20_2026,
,042024_BEL_CBC_T1_924_MCAV,Healthy,12_2_2024,40.4,UML_NARWHAL_R2_B14,,,1_24,1_8_2026,1_20_2026,
,012024_BEL_CBC_T2_603_MCAV,Healthy,2_17_2025,5.66,UML_NARWHAL_R2_B16,,,2_55,1_8_2026,1_20_2026,
,062024_BEL_CBC_T3_1448_PAST,Healthy,1_13_2025,35,UML_NARWHAL_R2_B15,,,3_34,1_8_2026,1_20_2026,
,082024_BEL_CBC_T2_1516_OFAV,Healthy,1_14_2025,RECHECK,UML_NARWHAL_R2_B15,,,2_79,1_8_2026,1_20_2026,
,082024_BEL_CBC_T4_1605_MCAV,Healthy,1_15_2025,48.6,UML_NARWHAL_R2_B15,,,4_28,1_8_2026,1_20_2026,
,062024_BEL_CBC_T4_1464_MCAV,Healthy,12_5_2024,6.74,UML_NARWHAL_R2_B15,,,4_76,1_8_2026,1_20_2026,
,062024_BEL_CBC_T2_1387_OFAV,Healthy,12_4_2024,4.62,UML_NARWHAL_R2_B15,,,2_79,1_8_2026,1_20_2026,
,042024_BEL_CBC_T1_931_SSID,Diseased_Tissue,9_9_2024,33.2,UML_NARWHAL_R2_B11,,,1_3,1_8_2026,1_20_2026,
,112023_BEL_CBC_T3_358_SSID,Healthy,11_15_2024,102,UML_NARWHAL_R2_B12,,,3_33,1_8_2026,1_20_2026,
,062019_BEL_CBC_T3_16_MCAV,Healthy,2022,13.6,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B33",10_30_24,UML_NARWHAL_R6_B27,3_21,1_8_2026,1_20_2026,
,082024_BEL_CBC_T2_1509_SSID,Healthy,1_14_2025,60.8,UML_NARWHAL_R2_B15,,,2_72,1_8_2026,1_20_2026,
,112023_BEL_CBC_T3_356_MCAV,Healthy,11_15_2024,67.6,UML_NARWHAL_R2_B12,,,3_21,1_8_2026,1_20_2026,
,122023_BEL_CBC_T4_536_PSTR,Healthy,11_19_2024,25.2,UML_NARWHAL_R2_B13,,,4_98,1_8_2026,1_20_2026,
,092023_BEL_CBC_T2_176_MCAV,Healthy,11_8_2024,46.4,UML_NARWHAL_R2_B12,,,2_69,1_8_2026,1_20_2026,
,012024_BEL_CBC_T2_589_SSID,Healthy,2_17_2025,47.6,UML_NARWHAL_R2_B16,,,2_73,1_8_2026,1_20_2026,
,052022_BEL_CBC_T1_53_PAST,Healthy,8_19_2024,1.75,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34",10_6_2024,UML_NARWHAL_R6_B30,1_13,1_8_2026,1_20_2026,
,062024_BEL_CBC_T2_1378_PAST,Healthy,12_4_2024,27.6,UML_NARWHAL_R2_B15,,,2_68,1_8_2026,1_20_2026,
,062024_BEL_CBC_T3_1421_OFAV,Healthy,1_13_2025,69.4,UML_NARWHAL_R2_B15,,,3_38,1_8_2026,1_20_2026,
,062024_BEL_CBC_T1_1341_SSID,Diseased_Margin,11_4_2024,3.76,UML_NARWHAL_R2_B11,,,1_3,1_8_2026,1_20_2026,
,062024_BEL_CBC_T4_1467_MCAV,Healthy,1_13_2025,21.8,UML_NARWHAL_R2_B15,,,4_28,1_8_2026,1_20_2026,
,062024_BEL_CBC_T3_1445_SSID,Healthy,1_13_2025,86.6,UML_NARWHAL_R2_B15,,,3_33,1_8_2026,1_20_2026,
,042024_BEL_CBC_T2_1025_SSID,Healthy,12_2_2024,49.8,UML_NARWHAL_R2_B14,,,2_73,1_8_2026,1_20_2026,
,052022_BEL_CBC_T1_63_OANN,Healthy,7_16_2024,9.86,UML_NARWHAL_R2_B26,8_6_2024,UML_NARWHAL_R6_B27,1_25,1_8_2026,1_20_2026,
,052022_BEL_CBC_T2_59_OFAV,Healthy,10_3_2023,73.7,UML_NARWHAL_R2_B3,10_16_2023,UML_NARWHAL_R2_B1,2_76,1_8_2026,1_20_2026,
,122022_BEL_CBC_T1_151_MCAV,Healthy,8_12_2024,0.218,UML_NARWHAL_R2_B26,10_6_2024,UML_NARWHAL_R6_B30,1_24,1_8_2026,1_20_2026,
,012024_BEL_CBC_T2_587_SSID,Healthy,2_17_2025,48.8,UML_NARWHAL_R2_B16,,,2_72,1_8_2026,1_20_2026,
,122022_BEL_CBC_T2_90_SSID,Healthy,12_4_2024,30.7,UML_NARWHAL_R2_B15,,,2_73,1_9_2026,1_21_2026,
,082024_BEL_CBC_T3_1555_SSID,Healthy,1_15_2025,11.7,UML_NARWHAL_R2_B15,,,3_5,1_9_2026,1_21_2026,
,092023_BEL_CBC_T2_171_OFAV,Healthy,11_8_2024,78.8,UML_NARWHAL_R2_B12,,,2_79,1_9_2026,1_21_2026,
,052022_BEL_CBC_T1_55_PSTR,Healthy,6_8_2023,9.4,UML_NARWHAL_R2_B3,10_6_2023,UML_NARWHAL_R6_B1,1_12,1_9_2026,1_21_2026,
,042024_BEL_CBC_T2_1016_MCAV,Healthy,12_2_2024,47.4,UML_NARWHAL_R2_B14,,,2_55,1_9_2026,1_21_2026,
,052022_BEL_CBC_T3_25_PAST,Healthy,2022,8.52,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34, UML_NARWHAL_R2_B35",10_30_24,UML_NARWHAL_R6_B27,3_34,1_9_2026,1_21_2026,
,082024_BEL_CBC_T1_1480_SSID,Healthy,1_14_2025,43.6,UML_NARWHAL_R2_B15,,,1_3,1_9_2026,1_21_2026,
,092023_BEL_CBC_T2_172_OFAV,Healthy,11_8_2024,108,UML_NARWHAL_R2_B12,,,2_76,1_9_2026,1_21_2026,
,082024_BEL_CBC_T4_1610_MCAV,Healthy,1_15_2025,86,UML_NARWHAL_R2_B15,,,4_30,1_9_2026,1_21_2026,
,022024_BEL_CBC_T3_843_MCAV,Diseased_Margin,11_4_2024,2.94,UML_NARWHAL_R2_B11,,,3_2,1_9_2026,1_21_2026,
,112023_BEL_CBC_T2_312_OFAV,Healthy,11_13_2024,50.6,UML_NARWHAL_R2_B12,,,2_79,1_9_2026,1_21_2026,
,122022_BEL_CBC_T2_83_PAST,Healthy,9_11_2024,21.8,UML_NARWHAL_R2_B29,9_28_2024,UML_NARWHAL_R6_B30,2_57,1_9_2026,1_21_2026,
,062019_BEL_CBC_T2_2_PAST,Healthy,9_11_2024,6.77,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34",10_6_2024,UML_NARWHAL_R6_B30,2_68,1_9_2026,1_21_2026,
,052022_BEL_CBC_T3_6_SSID,Healthy,12_4_2024,27.9,UML_NARWHAL_R2_B15,,,3_5,1_9_2026,1_21_2026,
,122023_BEL_CBC_T3_527_OFAV,Healthy,11_19_2024,16.1,UML_NARWHAL_R2_B13,,,3_66,1_9_2026,1_21_2026,
,112023_BEL_CBC_T2_311_MCAV,Healthy,11_13_2024,47,UML_NARWHAL_R2_B12,,,2_60,1_9_2026,1_21_2026,
,022024_BEL_CBC_T1_774_MCAV,Healthy,11_22_2024,31.2,UML_NARWHAL_R2_B13,,,1_24,1_9_2026,1_21_2026,
,122023_BEL_CBC_T2_514_SSID,Healthy,11_18_2024,25,UML_NARWHAL_R2_B13,,,2_72,1_9_2026,1_21_2026,
,012024_BEL_CBC_T3_635_OFAV,Healthy,2_20_2025,90.4,UML_NARWHAL_R2_B16,,,3_38,1_9_2026,1_21_2026,
,092023_BEL_CBC_T1_172_PAST,Healthy,11_8_2024,1.2,UML_NARWHAL_R2_B12,,,1_21,1_9_2026,1_21_2026,
,042024_BEL_CBC_T3_950_PSTR,Healthy,12_3_2024,8.85,UML_NARWHAL_R2_B14,,,3_20,1_9_2026,1_21_2026,
,112023_BEL_CBC_T3_348_SSID,Healthy,11_15_2024,15.2,UML_NARWHAL_R2_B12,,,3_5,1_9_2026,1_21_2026,
,052022_BEL_CBC_T2_11_PAST,Healthy,6_17_2022,15,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B29, UML_NARHWAL_PINK",11_6_2024,UML_NARWHAL_R6_B27,2_57,1_9_2026,1_21_2026,
,092023_BEL_CBC_T1_178_OANN,Healthy,11_8_2024,21,UML_NARWHAL_R2_B12,,,1_25,1_9_2026,1_21_2026,
,112023_BEL_CBC_T4_400_OFAV,Healthy,11_15_2024,47.8,UML_NARWHAL_R2_B12,,,4_78,1_9_2026,1_21_2026,
,122022_BEL_CBC_T2_88_MCAV,Healthy,8_12_2024,0.884,UML_NARWHAL_R2_B26,10_6_2024,UML_NARWHAL_R6_B30,2_55,1_9_2026,1_21_2026,
,122023_BEL_CBC_T2_521_OFAV,Healthy,11_18_2024,37.6,UML_NARWHAL_R2_B13,,,2_79,1_9_2026,1_21_2026,
,082024_BEL_CBC_T1_1483_MCAV,Healthy,1_14_2025,58.4,UML_NARWHAL_R2_B15,,,1_24,1_9_2026,1_21_2026,
,052022_BEL_CBC_T1_62_MCAV,Healthy,8_12_2024,0.538,UML_NARWHAL_R2_B26,10_6_2024,UML_NARWHAL_R6_B30,1_24,1_9_2026,1_21_2026,
,112023_BEL_CBC_T3_350_OFAV,Healthy,11_15_2024,73.6,UML_NARWHAL_R2_B12,,,3_38,1_9_2026,1_21_2026,
,042024_BEL_CBC_T3_956_MCAV,Healthy,12_3_2024,12.8,UML_NARWHAL_R2_B14,,,3_2,1_9_2026,1_21_2026,
,012024_BEL_CBC_T1_561_OANN,Healthy,2_17_2025,18,UML_NARWHAL_R2_B16,,,1_25,1_9_2026,1_21_2026,
352,112023_BEL_CBC_T4_396_MCAV,Healthy,11_15_2024,45.8,UML_NARWHAL_R2_B12,,,4_28,2_9_2026,2_12_2026,
109,122022_BEL_CBC_T4_15_MCAV,Diseased_Tissue,7_19_2024,2.03,UML_NARWHAL_R2_B26,10_29_2024,UML_NARWHAL_R6_B30,4_95,2_9_2026,2_12_2026,
55,092023_BEL_CBC_T1_188_SSID,Diseased_Tissue,9_11_2024,6.22,UML_NARWHAL_R2_B11,,,1_5,2_9_2026,2_12_2026,
18,052022_BEL_CBC_T1_41_OANN,Healthy,6_21_2023,11.1,UML_NARWHAL_R2_B3,10_16_2023,UML_NARWHAL_R6_B1,1_22,2_9_2026,2_12_2026,
95,122022_BEL_CBC_T2_119_OANN,Diseased_Tissue,6_28_2023,6.7,UML_NARWHAL_R2_B3,10_17_2023,UML_NARWHAL_R6_B1,2_30,2_9_2026,2_12_2026,
318,012024_BEL_CBC_T2_593_MCAV,Healthy,2_17_2025,24.8,UML_NARWHAL_R2_B16,,,2_69,2_9_2026,2_12_2026,
295,062019_BEL_CBC_T1_1_PAST,Healthy,2022,2.38,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B35",10_30_24,all_sent_for_sequencing,1_2,2_9_2026,2_12_2026,
339,042024_BEL_CBC_T1_929_PAST,Healthy,12_2_2024,34.4,UML_NARWHAL_R2_B14,,,1_21,2_9_2026,2_12_2026,
42,062019_BEL_CBC_T1_6_MCAV,Healthy,2022,7.03,UML_NARWHAL_R2_B33,11_5_2024,UML_NARWHAL_R6_B27,1_342,2_9_2026,2_12_2026,
349,022024_BEL_CBC_T1_771_PAST,Healthy,11_22_2024,23.8,UML_NARWHAL_R2_B13,,,1_2,2_9_2026,2_12_2026,
313,082024_BEL_CBC_T4_1608_MCAV,Healthy,1_15_2025,61,UML_NARWHAL_R2_B15,,,4_76,2_9_2026,2_12_2026,
67,092023_BEL_CBC_T4_84_OANN,Diseased_Tissue,9_11_2024,6.54,UML_NARWHAL_R2_B11,,,4_99,2_9_2026,2_12_2026,
48,062019_BEL_CBC_T3_11_MCAV,Healthy,9_13_2024,12,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B33",10_9_2024,UML_NARWHAL_R6_B27,3_12,2_9_2026,2_12_2026,
317,092023_BEL_CBC_T2_173_SSID,Healthy,11_8_2024,37.4,UML_NARWHAL_R2_B12,,,2_73,2_9_2026,2_12_2026,
344,022024_BEL_CBC_T2_808_PAST,Healthy,11_22_2024,32,UML_NARWHAL_R2_B13,,,2_68,2_9_2026,2_12_2026,
288,012024_BEL_CBC_T3_644_PSTR,Healthy,2_20_2025,48.8,UML_NARWHAL_R2_B16,,,3_70,2_9_2026,2_12_2026,
97,122022_BEL_CBC_T2_89_PAST,Healthy,9_11_2024,42.6,UML_NARWHAL_R2_B29,10_6_2024,UML_NARWHAL_R6_B30,2_56,2_9_2026,2_12_2026,
87,122022_BEL_CBC_T1_139_PAST,Diseased_Tissue,8_9_2024,1.25,UML_NARWHAL_R2_B26,10_29_2024,UML_NARWHAL_R6_B30,1_20,2_9_2026,2_12_2026,
72,102019_BEL_CBC_T1_28_PSTR,Healthy,5_30_2023,7.2,,10_17_2023,UML_NARWHAL_R2_B1,1_404,2_9_2026,2_12_2026,
47,062019_BEL_CBC_T2_5_MCAV,Healthy,9_13_2024,9.48,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B33",10_9_2024,UML_NARWHAL_R6_B27,2_59,2_9_2026,2_12_2026,
369,062024_BEL_CBC_T3_1418_SSID,Healthy,1_13_2025,41.4,UML_NARWHAL_R2_B15,,,3_5,2_9_2026,2_12_2026,
74,102019_BEL_CBC_T1_31_PSTR,Healthy,6_1_2023,13.2," UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B3",9_27_2023,UML_NARWHAL_R2_B1,1_419,2_9_2026,2_12_2026,
40,062019_BEL_CBC_T1_3_MCAV,Healthy,9_13_2024,29.6,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B33",10_9_2024,UML_NARWHAL_R6_B27,1_355,2_9_2026,2_12_2026,
12,052022_BEL_CBC_T1_12_MCAV,Diseased_Margin,6_10_2022,7.52,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35",10_30_2024,UML_NARWHAL_R6_B27,1_8,2_9_2026,2_12_2026,
62,092023_BEL_CBC_T3_196_SSID,Diseased_Tissue,9_11_2024,18.1,UML_NARWHAL_R2_B11,,,3_3,2_9_2026,2_12_2026,
302,042024_BEL_CBC_T3_949_PSTR,Healthy,12_3_2024,9.51,UML_NARWHAL_R2_B14,,,3_70,2_9_2026,2_12_2026,
91,122022_BEL_CBC_T2_102_OFAV,Diseased_Tissue,6_28_2023,56.1,UML_NARWHAL_R2_B3,10_17_2023,UML_NARWHAL_R6_B1,2_80,2_9_2026,2_12_2026,
300,082024_BEL_CBC_T2_1517_MCAV,Healthy,1_14_2025,40.8,UML_NARWHAL_R2_B15,,,2_69,2_9_2026,2_12_2026,
43,062019_BEL_CBC_T1_8_PAST,Healthy,6_17_2022,3.92,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35",10_30_24,all_sent_for_sequencing,1_19,2_9_2026,2_12_2026,
19,052022_BEL_CBC_T1_52_PAST,Diseased_Tissue,6_17_2022,8.1,UML_NARWHAL_R2_B32,10_30_2024,UML_NARWHAL_R6_B27,1_19,2_9_2026,2_12_2026,
23,052022_BEL_CBC_T2_45_PSTR,Diseased_Margin,10_10_2023,22.8,UML_NARWHAL_R2_B3,10_17_2023,UML_NARWHAL_R2_B1,2_70,2_9_2026,2_12_2026,
92,122022_BEL_CBC_T2_116_PSTR,Diseased_Margin,7_11_2024,7.87,UML_NARWHAL_R2_B26,8_2_2024,UML_NARWHAL_R6_B27,2_28,2_10_2026,2_17_2026,
50,062019_BEL_CBC_T3_14_MCAV,Healthy,2022,12.6,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B33",11_5_2024,UML_NARWHAL_R6_B27,3_17,2_10_2026,2_17_2026,
361,042024_BEL_CBC_T2_1040_SSID,Healthy,12_2_2024,52.2,UML_NARWHAL_R2_B14,,,2_72,2_10_2026,2_17_2026,
82,122022_BEL_CBC_T1_120_OANN,Diseased_Margin,6_28_2023,15.2,,10_17_2023,UML_NARWHAL_R6_B1,1_22,2_10_2026,2_17_2026,
22,052022_BEL_CBC_T1_70_MCAV,Diseased_Tissue,6_14_2022,48.8,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35",10_30_2024,UML_NARWHAL_R6_B27,1_15,2_10_2026,2_17_2026,
372,062024_BEL_CBC_T1_1356_PAST,Healthy,12_4_2024,5,UML_NARWHAL_R2_B15,,,1_2,2_10_2026,2_17_2026,
108,122022_BEL_CBC_T4_14_MCAV,Diseased_Margin,7_17_2024,5.99,UML_NARWHAL_R2_B26,10_29_2024,UML_NARWHAL_R6_B30,4_95,2_10_2026,2_17_2026,
57,092023_BEL_CBC_T1_194_SSID,Diseased_Tissue,9_11_2024,15.7,UML_NARWHAL_R2_B11,,,1_16,2_10_2026,2_17_2026,
296,012024_BEL_CBC_T3_642_PSTR,Healthy,2_20_2025,2.04,UML_NARWHAL_R2_B16,,,3_20,2_10_2026,2_17_2026,
329,122022_BEL_CBC_T4_4_PSTR,Healthy,7_12_2024,7.07,UML_NARWHAL_R2_B26,8_6_2024,,4_79,2_10_2026,2_17_2026,
38,062019_BEL_CBC_T1_18_PAST,Healthy,9_11_2024,1.28,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34",10_6_2024,UML_NARWHAL_R6_B30,1_20,2_10_2026,2_17_2026,
312,012024_BEL_CBC_T2_585_OFAV,Healthy,2_17_2025,71.6,UML_NARWHAL_R2_B16,,,2_76,2_10_2026,2_17_2026,
322,062024_BEL_CBC_T2_1399_PAST,Healthy,12_4_2024,17.4,UML_NARWHAL_R2_B15,,,2_63,2_10_2026,2_17_2026,
323,122023_BEL_CBC_T4_538_OFAV,Healthy,11_19_2024,17.7,UML_NARWHAL_R2_B13,,,4_78,2_10_2026,2_17_2026,
17,052022_BEL_CBC_T1_40_MCAV,Diseased_Margin,2022,13.9,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35",11_8_2024,UML_NARWHAL_R6_B27,1_15,2_10_2026,2_17_2026,
31,052022_BEL_CBC_T3_50_MCAV,Diseased_Margin,6_14_2022,4.26,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35",10_30_2024,UML_NARWHAL_R6_B27,3_17,2_10_2026,2_17_2026,
336,082024_BEL_CBC_T3_1564_PAST,Healthy,1_15_2025,3.08,UML_NARWHAL_R2_B15,,,3_34,2_10_2026,2_17_2026,
107,122022_BEL_CBC_T4_13_PSTR,Diseased_Tissue,7_3_2024,6.21,UML_NARWHAL_R2_B26,8_2_2024,UML_NARWHAL_R6_B27,4_96,2_10_2026,2_17_2026,
