,Tubelabel_species,Health_Status,Date_Extracted,Raw_ng_ul,Extraction_physical_location,Date_Enriched,Microbe_Location,colony,Date_16S,Date_ITS2,16S double band
254,122022_BEL_CBC_T1_151_MCAV,Healthy,8_12_2024,0.218,UML_NARWHAL_R2_B26,10_6_2024,UML_NARWHAL_R6_B30,1_24,NA,NA,
255,012024_BEL_CBC_T2_587_SSID,Healthy,2_17_2025,48.8,UML_NARWHAL_R2_B16,,,2_72,NA,NA,
256,122022_BEL_CBC_T2_90_SSID,Healthy,12_4_2024,30.7,UML_NARWHAL_R2_B15,,,2_73,NA,NA,
257,082024_BEL_CBC_T3_1555_SSID,Healthy,1_15_2025,11.7,UML_NARWHAL_R2_B15,,,3_5,NA,NA,
258,092023_BEL_CBC_T2_171_OFAV,Healthy,11_8_2024,78.8,UML_NARWHAL_R2_B12,,,2_79,NA,NA,
259,052022_BEL_CBC_T1_55_PSTR,Healthy,6_8_2023,9.4,UML_NARWHAL_R2_B3,10_6_2023,UML_NARWHAL_R6_B1,1_12,NA,NA,
260,042024_BEL_CBC_T2_1016_MCAV,Healthy,12_2_2024,47.4,UML_NARWHAL_R2_B14,,,2_55,NA,NA,
261,052022_BEL_CBC_T3_25_PAST,Healthy,2022,8.52,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34, UML_NARWHAL_R2_B35",10_30_24,UML_NARWHAL_R6_B27,3_34,NA,NA,
262,082024_BEL_CBC_T1_1480_SSID,Healthy,1_14_2025,43.6,UML_NARWHAL_R2_B15,,,1_3,NA,NA,
263,092023_BEL_CBC_T2_172_OFAV,Healthy,11_8_2024,108,UML_NARWHAL_R2_B12,,,2_76,NA,NA,
264,082024_BEL_CBC_T4_1610_MCAV,Healthy,1_15_2025,86,UML_NARWHAL_R2_B15,,,4_30,NA,NA,
265,022024_BEL_CBC_T3_843_MCAV,Diseased_Margin,11_4_2024,2.94,UML_NARWHAL_R2_B11,,,3_2,NA,NA,
266,112023_BEL_CBC_T2_312_OFAV,Healthy,11_13_2024,50.6,UML_NARWHAL_R2_B12,,,2_79,NA,NA,
