"","Tubelabel_species","Date_Extracted","Raw_ng_ul","Date_Enriched","Microbe_Location","Month_year","colony","CollectionDate","Species","Health_status","Sample_physical_location","Extraction_physical_location","immune_y.n","Condition"
"50","062019_BEL_CBC_T2_28_MCAV","2022","3.3","10_30_24","all_sent_for_sequencing","062019","2_56","6/25/19","MCAV","Healthy","Depleted_UML_NARWHAL_R1_B1","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B33","n","Healthy"
"51","062019_BEL_CBC_T2_5_MCAV","9_13_2024","9.48","10_9_2024","UML_NARWHAL_R6_B27","062019","2_59","6/21/19","MCAV","Healthy","UML_NARWHAL_R1_B1","UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B33","n","Healthy"
"52","062019_BEL_CBC_T3_11_MCAV","9_13_2024","12","10_9_2024","UML_NARWHAL_R6_B27","062019","3_12","6/23/19","MCAV","Healthy","UML_NARWHAL_R1_B1","UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B33","n","Healthy"
"53","062019_BEL_CBC_T3_12_PAST","2022","1.75","11_6_2024","UML_NARWHAL_R6_B27","062019","3_18","6/23/19","PAST","Healthy","UML_NARWHAL_R1_B1","UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B32","n","Healthy"
"54","062019_BEL_CBC_T3_14_MCAV","2022","12.6","11_5_2024","UML_NARWHAL_R6_B27","062019","3_17","6/23/19","MCAV","Healthy","UML_NARWHAL_R1_B1","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B33","n","Healthy"
"55","062019_BEL_CBC_T3_15_MCAV","6_13_2022","22.4","10_30_24","UML_NARWHAL_R6_B27","062019","3_22","6/23/19","MCAV","Healthy","UML_NARWHAL_R1_B1","UML_NARWHAL_R2_B33, UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","n","Healthy"
"56","062019_BEL_CBC_T3_23_PAST","2022","4.22","10_6_2024","UML_NARWHAL_R6_B30, (enrichment from 2022 extract - JF_TEMP)","062019","3_24","6/23/19","PAST","Healthy","UML_NARWHAL_R1_B1","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34","n","Healthy"
"57","062019_BEL_CBC_T3_28_SSID","","","","","062019","3_24","6/23/19","SSID","Healthy","Depleted_UML_NARWHAL_R1_B1","UML_NARWHAL_R2_B35","n","Healthy"
"58","062019_BEL_CBC_T3_9_MCAV","2022","5.2","11_5_2024","all_sent_for_sequencing","062019","3_15","6/23/19","MCAV","Healthy","UML_NARWHAL_R1_B1","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B33","n","Healthy"
"59","092023_BEL_CBC_T1_188_SSID","9_11_2024","6.22","","","092023","1_5","9/27/23","SSID","Diseased_Tissue","UML_NARWHAL_R1_B10","UML_NARWHAL_R2_B11","n","Diseased"
